dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,ct_srv_src,ct_state_ttl,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_srv_dst,Decision
0.807959,tcp,-,FIN,10,8,534,354,21.040671,254,252,4762.617676,3069.462646,2,1,89.673333,103.65343,5627.110011,161.011391,255,3905782700,581889136,255,0.148992,0.082376,0.066616,53,44,6,1,3,3,5,0,0,5,No
0.807959,tcp,-,FIN,10,8,534,354,21.040671,254,252,4762.617676,3069.462646,2,1,89.673333,103.65343,5627.110011,161.011391,255,3905782700,581889136,255,0.148992,0.082376,0.066616,53,44,6,1,3,3,5,0,0,5,No
0.857919,tcp,-,FIN,10,8,534,354,19.815391,254,252,4485.271973,2890.71582,2,1,90.742667,109.003711,4976.60735,185.301219,255,988840059,716477567,255,0.176924,0.094889,0.082035,53,44,6,1,1,1,5,0,0,5,No
1.661957,tcp,-,FIN,106,22,135414,956,76.415935,254,252,645682.1875,4394.818848,50,1,15.459772,73.931523,1582.030439,100.687648,255,1322621268,4278543729,255,0.179414,0.109387,0.070027,1277,43,3,1,1,1,2,0,0,2,No
0.577757,tcp,-,FIN,10,6,534,268,25.962472,254,252,6660.239258,3101.649902,2,1,57.050778,101.939602,2899.060828,142.555547,255,3010516369,4167730000,255,0.170812,0.068056,0.102756,53,45,3,1,2,1,3,0,0,3,No
0.376951,tcp,-,FIN,10,6,534,268,39.792969,254,252,10208.22266,4753.933594,2,1,41.779333,60.275801,2104.760853,82.490938,255,1724706100,619986106,255,0.121462,0.075571,0.045891,53,45,3,1,2,1,3,0,0,3,No
0.986872,tcp,-,FIN,10,8,534,354,17.226145,254,252,3899.188477,2512.990479,2,1,109.652444,131.251281,6152.253944,205.365281,255,4273747073,3759122944,255,0.14987,0.067267,0.082603,53,44,3,1,1,1,3,0,0,3,No
2.378689,tcp,-,FIN,112,24,135669,1042,56.75395,254,252,452208.75,3359.83374,53,1,21.429631,98.690648,2321.62404,154.397859,255,930245980,2244822151,255,0.197241,0.066427,0.130814,1211,43,3,1,1,1,2,0,0,2,No
0.964744,tcp,-,FIN,10,6,534,268,15.548167,254,252,3988.623047,1857.487671,2,1,100.918222,172.749594,5943.958429,293.8965,255,651513367,554221955,255,0.161437,0.100993,0.060444,53,45,3,1,1,1,3,0,0,3,No
0.618935,tcp,-,FIN,10,8,534,354,27.466536,254,252,6217.131348,4006.882812,2,1,64.528,78.742289,4166.125642,125.931344,255,968618556,3129812553,255,0.13523,0.067736,0.067494,53,44,3,1,1,1,3,0,0,3,No
