dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,ct_srv_src,ct_state_ttl,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_srv_dst,Decision
0.267761,tcp,-,CON,6,2,998,86,26.142718,62,252,24857.99023,1284.727783,2,1,53.5522,0.009,2955.722099,0,255,992811985,2017617009,255,0.196528,0.10325,0.093278,166,43,7,3,4,1,6,0,0,6,No
0.39419,tcp,-,CON,6,2,998,86,17.757933,62,252,16885.25781,872.675598,2,1,78.838,0.009,4089.69899,0,255,3604099848,936405592,255,0.251732,0.142479,0.109253,166,43,7,3,4,1,6,0,0,6,No
0.185921,tcp,-,CON,6,2,998,86,37.6504,62,252,35800.15234,1850.248291,2,1,37.1842,0.009,2156.857569,0,255,1600566404,2026881077,255,0.147657,0.095401,0.052256,166,43,7,3,1,1,6,0,0,6,No
0.145001,tcp,-,CON,6,2,998,86,48.275531,62,252,45903.13281,2372.397461,2,1,29.0002,0.009,1880.186972,0,255,300464891,2676371735,255,0.132357,0.092181,0.040176,166,43,7,3,4,1,7,0,0,7,No
0.200343,tcp,-,CON,6,2,998,86,34.940078,62,252,33223.02344,1717.055298,2,1,40.0686,0.008,2684.403307,0,255,520402597,585356401,255,0.189522,0.122495,0.067027,166,43,7,3,4,1,7,0,0,7,No
0.201462,tcp,-,CON,6,2,998,86,34.746007,62,252,33038.48828,1707.518066,2,1,40.2924,0.002,2655.311651,0,255,1348262828,4135433858,255,0.18724,0.115179,0.072061,166,43,7,3,4,1,7,0,0,7,No
0.125924,tcp,-,CON,6,2,998,86,55.589083,62,252,52857.27734,2731.806396,2,1,25.1848,0.007,1582.451894,0,255,955992931,2262124797,255,0.110894,0.07782,0.033074,166,43,7,3,4,1,7,0,0,7,No
0.13524,tcp,-,CON,6,2,998,86,51.759833,62,252,49216.20703,2543.625977,2,1,27.048,0.009,1778.336742,0,255,3471681939,540371337,255,0.125367,0.092075,0.033292,166,43,6,3,1,1,5,0,0,5,No
0.134819,tcp,-,CON,6,2,998,86,51.921465,62,252,49369.89453,2551.569092,2,1,26.9638,0.001,1725.422093,0,255,851600309,3890127768,255,0.121268,0.072766,0.048502,166,43,7,3,3,1,7,0,0,7,No
0.136116,tcp,-,CON,6,2,998,86,51.426725,62,252,48899.46875,2527.256104,2,1,27.2232,0.001,1763.367638,0,255,3985280255,3527764735,255,0.124126,0.093549,0.030577,166,43,7,3,3,1,7,0,0,7,No
0.664468,tcp,-,CON,6,2,998,86,10.534744,62,252,10017.03613,517.707397,2,1,132.8936,0.009,9036.720645,0,255,3310034714,2549661292,255,0.638528,0.578686,0.059842,166,43,7,3,3,1,7,0,0,7,No
0.338571,tcp,-,CON,6,2,998,86,20.675131,62,252,19659.0957,1016.035034,2,1,67.7142,0.009,3705.195427,0,255,1647777794,3420629047,255,0.244622,0.105168,0.139454,166,43,6,3,3,1,5,0,0,5,No
0.180955,tcp,-,CON,6,2,998,86,38.683652,62,252,36782.62891,1901.025146,2,1,36.191,0.009,2215.850351,0,255,947391081,4169975133,255,0.154442,0.085087,0.069355,166,43,6,3,3,1,5,0,0,5,No
0.135325,tcp,-,CON,6,2,998,86,51.727323,62,252,49185.29297,2542.028564,2,1,27.065,0.006,1698.524714,0,255,4102650079,3688883013,255,0.119002,0.072129,0.046873,166,43,6,3,3,1,5,0,0,5,No
0.203552,tcp,-,CON,6,2,998,86,34.389248,62,252,32699.26172,1689.985962,2,1,40.7104,0.005,2622.645798,0,255,3326660164,1858877047,255,0.184486,0.114747,0.069739,166,43,6,3,1,1,5,0,0,5,No
0.184546,tcp,-,CON,6,2,998,86,37.930924,62,252,36066.89063,1864.033936,2,1,36.9092,0.006,2034.218842,0,255,567626700,3645193501,255,0.135108,0.088271,0.046837,166,43,3,3,2,1,3,0,0,4,No
0.751376,tcp,-,CON,6,2,998,86,9.316241,62,252,8858.415039,457.826721,2,1,150.2752,0.007,7980.47394,0,255,2711353167,1578761665,255,0.241,0.186815,0.054185,166,43,3,3,2,1,3,0,0,4,No
0.287468,tcp,-,CON,6,2,998,86,24.350538,62,252,23153.88281,1196.655029,2,1,57.4936,0.007,3001.961245,0,255,1081798063,2520361656,255,0.187091,0.117769,0.069322,166,43,3,3,1,1,3,0,0,4,No
0.231516,tcp,-,CON,6,2,998,86,30.235491,62,252,28749.63281,1485.858398,2,1,46.3032,0.001,2476.574219,0,255,62399367,2564066235,255,0.159813,0.109713,0.0501,166,43,6,3,1,1,5,0,0,5,No
0.607651,tcp,-,CON,6,2,998,86,11.51977,62,252,10953.65625,566.114441,2,1,121.5302,0.004,7480.745285,0,255,3469278619,921738770,255,0.52207,0.391068,0.131002,166,43,6,3,2,1,5,0,0,5,No
