dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,ct_srv_src,ct_state_ttl,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_srv_dst,Decision
0.000011,udp,-,INT,2,0,496,0,90909.0902,254,0,180363632,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,248,0,2,2,1,1,2,0,0,2,No
0.000008,udp,-,INT,2,0,1762,0,125000.0003,254,0,881000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,881,0,2,2,1,1,2,0,0,2,No
0.000005,udp,-,INT,2,0,1068,0,200000.0051,254,0,854400000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,534,0,3,2,1,1,3,0,0,3,No
0.000006,udp,-,INT,2,0,900,0,166666.6608,254,0,600000000,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,450,0,3,2,2,1,3,0,0,3,No
0.00001,udp,-,INT,2,0,2126,0,100000.0025,254,0,850400000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,1063,0,3,2,2,1,3,0,0,3,No
0.000003,udp,-,INT,2,0,784,0,333333.3215,254,0,1045333312,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,392,0,2,2,2,1,2,0,0,2,No
0.000006,udp,-,INT,2,0,1960,0,166666.6608,254,0,1306666624,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,980,0,2,2,2,1,2,0,0,2,No
0.000028,udp,-,INT,2,0,1384,0,35714.28522,254,0,197714288,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,692,0,3,2,1,1,3,0,0,3,No
0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.688,0,0,0,0,0,0,0,0,0,0,46,0,2,2,2,2,2,0,0,2,No
0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.712,0,0,0,0,0,0,0,0,0,0,46,0,2,2,2,2,2,0,0,2,No
0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.688,0,0,0,0,0,0,0,0,0,0,46,0,2,2,2,2,2,0,0,2,No
0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.712,0,0,0,0,0,0,0,0,0,0,46,0,2,2,2,2,2,0,0,2,No
0.000004,udp,-,INT,2,0,1454,0,250000.0006,254,0,1454000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,727,0,3,2,1,1,3,0,0,3,No
0.000007,udp,-,INT,2,0,2062,0,142857.1409,254,0,1178285696,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,1031,0,3,2,1,1,3,0,0,3,No
0.000011,udp,-,INT,2,0,2040,0,90909.0902,254,0,741818176,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,1020,0,1,2,1,1,1,0,0,1,No
0.000004,udp,-,INT,2,0,1052,0,250000.0006,254,0,1052000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,526,0,3,2,1,1,3,0,0,3,No
