id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
1,0.000011,udp,-,INT,2,0,496,0,90909.0902,254,0,180363632,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,248,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,0
2,0.000008,udp,-,INT,2,0,1762,0,125000.0003,254,0,881000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,881,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,0
3,0.000005,udp,-,INT,2,0,1068,0,200000.0051,254,0,854400000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,534,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,0
4,0.000006,udp,-,INT,2,0,900,0,166666.6608,254,0,600000000,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,450,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,0
5,0.00001,udp,-,INT,2,0,2126,0,100000.0025,254,0,850400000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,1063,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,0
6,0.000003,udp,-,INT,2,0,784,0,333333.3215,254,0,1045333312,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,392,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,0
7,0.000006,udp,-,INT,2,0,1960,0,166666.6608,254,0,1306666624,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,980,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,0
8,0.000028,udp,-,INT,2,0,1384,0,35714.28522,254,0,197714288,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,692,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,0
9,0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.688,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0
10,0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.712,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0
11,0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.688,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0
12,0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.712,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0
13,0.000004,udp,-,INT,2,0,1454,0,250000.0006,254,0,1454000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,727,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,0
14,0.000007,udp,-,INT,2,0,2062,0,142857.1409,254,0,1178285696,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,1031,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,0
15,0.000011,udp,-,INT,2,0,2040,0,90909.0902,254,0,741818176,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,0
16,0.000004,udp,-,INT,2,0,1052,0,250000.0006,254,0,1052000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,526,0,0,0,3,2,1,1,1,3,0,0,0,2,3,0,0
17,0.000003,udp,-,INT,2,0,314,0,333333.3215,254,0,418666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,157,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,0
18,0.00001,udp,-,INT,2,0,1774,0,100000.0025,254,0,709600000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,887,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,0
19,0.000002,udp,-,INT,2,0,1568,0,500000.0013,254,0,3136000000,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,784,0,0,0,3,2,1,1,1,2,0,0,0,1,2,0,0
20,0.000004,udp,-,INT,2,0,2054,0,250000.0006,254,0,2054000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,1027,0,0,0,3,2,1,1,1,2,0,0,0,2,2,0,0
21,0.00001,udp,-,INT,2,0,2170,0,100000.0025,254,0,868000000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,0
22,0.000009,udp,-,INT,2,0,202,0,111111.1072,254,0,89777776,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,101,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,0
23,0.00001,udp,-,INT,2,0,1334,0,100000.0025,254,0,533600000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,667,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,0
24,0.000005,udp,-,INT,2,0,2058,0,200000.0051,254,0,1646400000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,0
25,0.000003,udp,-,INT,2,0,286,0,333333.3215,254,0,381333312,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,143,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,0
26,0.000007,udp,-,INT,2,0,1500,0,142857.1409,254,0,857142848,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,750,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,0
27,0.000006,udp,-,INT,2,0,902,0,166666.6608,254,0,601333312,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,451,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,0
28,0.000002,udp,-,INT,2,0,1626,0,500000.0013,254,0,3252000000,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,813,0,0,0,2,2,1,1,1,1,0,0,0,2,1,0,0
29,0.000007,udp,-,INT,2,0,364,0,142857.1409,254,0,208000000,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,182,0,0,0,3,2,1,1,1,1,0,0,0,2,2,0,0
30,1.434166,tcp,-,FIN,10,6,530,268,10.459041,254,252,2660.780029,1249.506714,2,1,151.243111,270.886813,10042.8699,468.508156,255,1640845588,177111456,255,0.148966,0.079731,0.069235,53,45,0,0,2,1,1,1,1,1,0,0,0,1,1,0,0
31,0.000007,udp,-,INT,2,0,730,0,142857.1409,254,0,417142848,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,365,0,0,0,2,2,1,1,1,2,0,0,0,2,2,0,0
32,1.924287,tcp,-,FIN,10,8,530,354,8.834441,254,252,1983.072266,1288.789062,2,1,213.738778,261.252,13125.11139,399.405156,255,2214319888,3374287000,255,0.185096,0.095516,0.08958,53,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,0
33,2.773779,tcp,-,FIN,14,8,7954,354,7.570899,254,252,21302.3457,894.087097,4,1,213.367611,381.293437,18158.22943,788.701375,255,3374744735,1063429159,255,0.144772,0.077744,0.067028,568,44,0,0,1,1,1,1,1,1,0,0,0,2,1,0,0
